 ,Public Figure Name,Statement,Positive/Negative,
184190K,Dhanika Perera,"හෙළPay for Business
iOS App එක මේ වන විට Apple approval සඳහා යොමුකර ඇත. Approve වූ සැණින් දැනුවත් කරන්නම්.   
",Positive,
,Hasitha Wijewardena,"ජිවිතේ ගන්න පුළුවන් ආතල් ටික ඔක්කොම ගන්න 🤘 මේ මම කියන්න යන්නේ කන්දකින් පහළට පනින පැරෂුට් ගමනක් ගැන. ලංකාවේ සංචාරකයෝ වෙනුවෙන් පළමුවරට ඇරඹි Paraglding | On Topic with Hasitha Wijewardena Watch on Youtube https://youtu.be/XdBdLPSu3YI
Adventure Sports කරන්න කැමති අයට ගන්න පුළුවන් නියම Experience එකක් තමයි ලංකාවේ අලුතින්ම පටන් ගත්ත පැරාග්ලයිඩින් කියන්නේ. මේ Sport එකේදී Air Sick නැති බිම බලන්න බය නැති ඕනම කෙනෙක්ට දේශගුණික තත්වය අනුව මහනුවර මාතලේ සහ කුරුණෑගල යන ප්‍රදේශවල කන්දකින් පහලට පැනලා පැරෂුට් එකක් මගින් අහසේ පාවෙවී ඉන්න පුළුවන් හරියට කුරුල්ලෙක් වගේ. බය වෙන්න කිසිදෙයක් නැහැ Tandem pilot ඔක්කොම control කරද්දී අපිට තියෙන්නේ වටේම බල බල යන්න විතරයි. එක Ride එකක් දේශීය සංචාරකයෙක්ට රු 20000ක් සහ විදෙස් සංචාරකයෙක්ට ඩොලර් 75ක මුදලක් වෙනවා. 
මේ වැඩේ ලංකාවේ පළමුවරට කරන්නේ KANDY paragliding ආයතනයේ අජන්ත බණ්ඩාර අයියා +94 (77) 757 1080 මේ නම්බර් එකෙන් හෝ FB Page එක හරහා සම්බන්ධ කරගෙන ඔබටත් යන්න පුළුවන්. 
Direction - Yuwaraj Athukorala
                    Darshana Eranga
Camara - Dinesh Kaluarachchi
                  Sudesh Dhammika Thilakasiri
                 Lahiru Chamara
Drone - Isuru Mudiyanse
Web - Naveen Eranga
Special Thanks to - Chandana Ekanayake Mullegama",Positive,
,Madhava Wijesinghe,"Shooting වලට නුවර ගියපු මගේ හිත ගිය තැනක්.. ❤️
හදිස්සියට shooting ගිය මට වැඩිපුර ඇඳුම් ටිකක් ඕනෙ උනා.
ඔන්න නුවර ඉන්න ඔයාලටයි, නුවර ලස්සන බලන්න යන ඔයාලටයි ඇඳුම් ගන්න යන්න හොඳම තැන තමයි මේ.. 
MBRK, Casual range වගේම active range එකට තමයි වැඩිපුරම මගේ හිත ගියේ. ඔයත් Kandy NOLIMIT එකට ගිහිල්ලම බලන්නකො.. 
#Nolimit #NolimitKandy #FashionSriLanka
NOLIMIT SRI LANKA",Positive,
,Madhava Wijesinghe,මේ ලස්සන අහිංසක මුහුනු වලට හිනාවක් ගේන්න අපිට පුලුවන් වුනේ ගෙවුනු සති අන්‍තයේ. මප/හඟු/ මන්දාරම්නුවර ප්‍රාථමික පාසලේ ඉගෙනුම ලබන දරුවන් 96 දෙනාටම අවශ්‍ය පාසල් උපකරණ ලබාදෙන්න අපිට හැකියාව ලැබුනේ Help Schools Foundation Sri Lanka සහය සහ මේ ඉන්න හිතවතුන්ගේ පරිත්‍යාගයෙන් බව මතක් කරන්නේ ඉතා කෘතවේදීවයි. හැමෝටම අමාරු කාලෙක මේ වගේ අහිංසක පුංචි දරුවන්‍ට උදව් උපකාර කරන්නට එක්වූ සැමට ස්තූතියි! ❤️,Positive,
,Kumar Dharmasena,"හෙට දිනයේ ආරම්භ වන ආසියානු කුසලාන ක්‍රිකට් තරඟාවලියට සහභාගි වන Sri Lanka Cricket කණ්ඩායම ඇතුලු අනෙක් සියලුම රටවල ක්‍රීඩකයන් හට මගේ හද පිරි සුභ පැතුම් එක් කරනවා.
#asiacup",Positive,
,Kumar Dharmasena,"ක්‍රිකට් කියන්නේ සමහර අයට ආගමක්. සමහර අයට ක්‍රීඩාවක්. ඒත් සමහර අයට නම් ක්‍රිකට් කියන්නේ ජීවිතය වගෙයි. Rudi Koertzen, මගේ මිත්‍රයාත් ක්‍රිකට් ක්‍රීඩාව තම ජීවිතය කර ගත්ත, මම වගේම ක්‍රීඩා විනිසුරුවරයෙක්. අවාසනාවන්ත ලෙස පසුගියදා ඔහු ජීවන ගමනෙන් සමු ගත්තා. ඒත් මම දැක්කා සමාජ මාධ්‍ය ජාලා හරහා ඔහු අපහාසයට පත් වෙන ආකාරයේ posts සහ comments කිහිපයක් මේ දිනවල share වෙනවා. ඒ පිළිබඳව ක්‍රීඩාවට ආදරය කරන විනිසුරුවරයෙක් විදියට සමහර ලාංකීය ප්‍රේක්ෂකයන් ගැන ලොකු කළකිරීමක් ඇති වුණා. ක්‍රිකට් ක්‍රීඩාවේ බොහෝ තීරණ නිවැරදි වගේම යම් අවස්ථාවල අස්ථීර වන්නටද පුලුවන්. ඉතින් මිය ගිය මගේ මිත්‍ර Koertzen වෙනුවෙන් හෝ වෙන ඕනෑම අයෙකු වෙනුවෙන් හෝ වේවා, එවැනි සුදුසු නොවන තොරතුරු ප්‍රචාරණය කිරීමෙන් වැළකී ඉන්නට කියා ආදරයෙන් ඉල්ලා සිටිනවා.
For many people, cricket is just a sport, and for some cricket is their life, like Rudi Koertzen who was a legendary umpire and a dear friend of mine. Unfortunately he passed away recently and may he rest in peace.
Today, I saw a few posts and comments criticizing Koertzen in a very negative way. This was truly a disappointment for me. And it saddens me as a fellow Umpire, to see some of our fans talking about what he didn't do or couldn't do. In cricket, not every decision will be 100% accurate. But that doesn't give anyone the right to talk down on him, especially when he has passed away. Instead, as cricket fans, we should admire his dedication and commitment towards cricket. It is my kind request to anyone who share such content to think again, you have the opportunity to make the right decision.",Negative,
,Thorz,"Without obsession, life is nothing.🤣 Rosi Mam Said she is going to do everything she can to stop this event. But leagaly she can’t do anything . ඒ තරම් මිතයා මත වල පැටලිලා so how can she do something for the people unless her Born Again Paster tell her what to do what not to do ?  
අහින්සක ලමයි පවා යොදා ගනිමින් protest කරන්න්න මහ පාරේ දාලා.. ඒ අන්ද බක්තියෙන් උපරිම ප්‍රයොජන  අරගෙන පාස්ටර් වරුන්ගෙන් එන මුදල් කුට්ටියට යට උන ජාරා පාලකයනුත් අප අතරේ ඉන්නවා. මේ festival  එක කරන්න කලින් ඉදලම මේ රට තිබුනේ අපායක. මම මේ උත්සහ ගන්නේ එකන් පුන්චි හරි වෙලාවකට අමතක කරලා International Festival experience එකක් දෙන්න. ❤️
වෙනදාටත් වඩා ඔයගොල්ලන්ව මට අවශම මොහොතයි. මුන් මේකෙන් කරන්නේ මේකට එන මිනිස්සු අඩු කරන්න but they have to remember some thing . 
We all are යක්ක පුත්තු.. 🤣 හැබැයි බුදු දහමින් හීලෑ උන ☺️🙏🏻",Negative,
,Ratta,"අරගලයේ නියමුවන් දඩයම නවතනු !! 
Live video එකක් පදනම් කරගෙන පුද්ගලයෙකු අත්අඩංගුවට ගත හැකිනම්, වීඩියෝ වල රාජපක්ෂ, වික්‍රමසිංහලාගෙ සොරකම් ඝාතන පිලිඹද ඕනෑතරම් කියා ඇත. මුලින්ම උං අත්අඩංගුවට ගත යුතුයි. 
මතවාද ගැටුනු තැන් තිබුනත් සමාජ යුක්තිය වෙනුවෙන් පෙනීසිටි අරගලකරු Pathum Kerner වෙනුවෙන් යුක්තිය ඉටුවන තුරු කොන්දේසි විරහිතව පෙනී සිටිමි ! 
අනීතික අත්අඩංගුවට ගැනීම් තුලින් අරගලය මර්ධනය නවතනු !! 
#releasepathumkerner",Negative,
,Akhila dhanuddhara,"අපි අප්පච්චි වටේ ආඩම්බරෙන් ඉන්නවා වගේ එයා සුව වෙනකන් ‍රටක් බලන් ඉන්නවා,සුභ ප්‍රාර්ථනා කරනවා... ඉදල හිටල අමුනුස්සයෙක් තමන්ගේ FB reach එක වැඩිකරගන්න නරක ආරංචි පතුරුවනවා.. ඒ පුරෝගන්න පව් වලට අපිට කරන්න දෙයක් නෑ....අප්පච්චි සුව වෙමින් ඉන්නවා හැමෝගෙම ශක්තියෙන් එයා සුව වෙනවා.",Negative,
,Thorz,"⚠️Read before you react 😅⚠️Top 100 Festivals (DJMag ) එක ඇතුලට EMF එක දාන්නේ නැදද කියලා ගොඩක් අය අහලා තිබුන නිසා මෙහෙම ලියන්න හිතුනා.  DJ mag කියන්නේ artists marketing and pr company එකක් . පසුව company එකෙන් festivals promote කරන්න පටන් ගත්තා.. ඉතින් මේ site එක තනිකරම marketing and artists fee increase කරන්න හැකියාවක් තියන marketing company එකක් මොකද Artists  කෙනෙක් Top 100 DJ mag ඇතුලට දාන්න මේගොල්ලෝ 50,000 Euros   වගේ ගානක් ගන්නවා. 
Top 50 එන්නෙ ඔනේ නම් තව ගානක් දීලා එන්න පුලුවන්. ඉතින් Hardwell , David Guetta වගේ ආර්ටිස්ට් ලා ඒ කිටන්නේ  industry name එකක් තියන කෙනෙක් උනත් ඉතින් ගානක් දෙන්න ඔනේ මේකේ එකට යන්න . හැබැයි මේ company එක පටන් ගත්ත කාලයේ මේගොල්ලෝ ඇත්තටම talent + fame  එක තියන අයට තැන දුන්න. But ඔගොල්ලෝ දැන් ගිහිල්ලා  Dj mag එක බැලුවත් top 100 ඉන්න artists ගෙන් 50 l% කටවත් 50 M වත් පැනපු YouTube views නෑ. It’s all about how much you can spend. 
ඉතින් තමන්ගේ Artists Management company එකේ හරි agency ඉන්න artists ගේ ratings වැඩි උනොත් එන commission  එක වැඩියි . artists managers ලා මේක ... විදිහට සලකගේන මේකට තමන්ගේ artists ලාව දානවා 
Fame එක තියන ආර්ටිස්ට්ස් ලා ගෙව්වේ නැති උනත් ( කිහිප දෙනෙක්ව ) දානවා නැත්නම් notice  වෙන නිසා . මේ top 100  එක Europe , USA , South Amarica , Australia වල ගනන් ගන්නේවත් නෑ මේක වැඩියෙන්ම බලන්නේ Asian counties වල. Song එකක් අහලා නොතිබුනත් top 100 එකේ හිට්යොත් හරිනේ අපේ අයට🤣
ඒවගේම තමයි top 100 festivals වලත් වෙන්නේ ඉතින් මම ඒ ගානෙන් artists කෙනෙක් ගෙනවා ඊට වඩා හොදයි. 🤣🙏🏻 And EMF is still a small brand. Maybe in few years when we are able to do Dubai , Australia ( when we are able to spend hundreds thousands euros on marketing 😇) 😬",Negative,
184062V,Thanuja Jayawardana,"හේමාල් රණසිංහගේ අලුත්ම චිත්‍රපටය Second Show චිත්‍රපටයේ ගීත එළිදැක්වීම. 
ඉන්දියාවත් ශ්‍රී ලංකාවත් එක්ව නිර්මාණය කළ
Second show චිත්‍රපටය හරහා ලාංකේය  සිනමාවත්  දක්ෂතවයනුත් ලෝකෙට අරන් යන්න නැවුම් බලාපොරොත්තුවකින් ඉන්න ආදරණීය  Silver Screen super star හේමාල් ❤️ ඔයාට සියලුම අභියෝගය ජය ගන්න ලැබේවා කියලා අපි ප්‍රාර්ථනා කරනවා🌹.
රටේ සියලු අරගල අතර සිනමාවත් දිගු කාලීන අරගලයක.. අර්බුදයක තියෙන මොහොතේ Second Show චිත්‍රපටයට ලෝක සිනමාව හරහා ජයග්‍රාහී ගමනක් යන්නට  ලැබේවා 🤘
අපිට ජූනි  මාසේ මේ film එක සිංහල සහ දෙමළ භාෂා දෙකෙන්ම බලන්න පුලුවන්.Director.
A T Gnanam
Hemal Ranasinghe &
Pallavi Subhash All the Best 😘
Hemal Sachindra Ranasinghe 
Sri Mal 
Malkz Wije 
Aseka Wijewardena
Photographer 📸 
Hasitha N Nilu  🌹😘😘",Positive,
